draw,null_minp,argmin_method
805,0.5619,raw_var_cusum
806,0.481,lsc_composite
807,0.481,lsc_composite
808,0.5535,lsc_tail_cusum
809,0.02015,lsc_kalman_cusum
810,0.481,lsc_composite
811,0.481,lsc_composite
812,0.14915,lsc_tail_cusum
813,0.5619,raw_var_cusum
814,0.5535,lsc_tail_cusum
815,0.1521,raw_cusum
816,0.0183,raw_var_cusum
817,1.0,lsc_composite
818,1.0,lsc_composite
819,0.5535,lsc_tail_cusum
820,0.1492,raw_var_cusum
821,0.5619,raw_var_cusum
822,0.1521,raw_cusum
823,0.5535,lsc_tail_cusum
824,0.5535,lsc_tail_cusum
825,0.14915,lsc_tail_cusum
826,0.1521,raw_cusum
827,0.0198,lsc_tail_cusum
828,0.1521,raw_cusum
829,0.481,lsc_composite
830,0.10165,lsc_composite
831,0.10165,lsc_composite
832,0.481,lsc_composite
833,0.2774,lsc_kalman_cusum
834,0.1521,raw_cusum
835,0.481,lsc_composite
836,0.481,lsc_composite
837,0.10165,lsc_composite
838,0.10165,lsc_composite
839,0.1492,raw_var_cusum
840,0.14915,lsc_tail_cusum
841,0.1521,raw_cusum
842,0.1521,raw_cusum
843,0.5535,lsc_tail_cusum
844,0.1492,raw_var_cusum
845,0.1492,raw_var_cusum
846,0.02015,lsc_kalman_cusum
847,0.5535,lsc_tail_cusum
848,0.10165,lsc_composite
849,0.10165,lsc_composite
850,0.2774,lsc_kalman_cusum
851,0.10165,lsc_composite
852,0.481,lsc_composite
853,0.1492,raw_var_cusum
854,0.5535,lsc_tail_cusum
855,0.14915,lsc_tail_cusum
856,0.14915,lsc_tail_cusum
857,0.1521,raw_cusum
858,0.481,lsc_composite
859,0.481,lsc_composite
860,0.5535,lsc_tail_cusum
861,0.1492,raw_var_cusum
862,0.1492,raw_var_cusum
863,0.1521,raw_cusum
864,0.5535,lsc_tail_cusum
865,0.2774,lsc_kalman_cusum
866,0.481,lsc_composite
867,0.10165,lsc_composite
868,0.14915,lsc_tail_cusum
869,0.481,lsc_composite
870,0.14915,lsc_tail_cusum
871,0.2774,lsc_kalman_cusum
872,0.1521,raw_cusum
873,0.5535,lsc_tail_cusum
874,0.2774,lsc_kalman_cusum
