model,rep,alarmed,hit,alarm_time,attrib_time,attrib_feature
arima,261,True,True,400.0,400,variance_pressure
kalman,262,True,True,400.0,400,variance_pressure
arima,262,False,False,,400,variance_pressure
kalman,263,True,True,443.0,443,variance_pressure
arima,263,False,False,,460,variance_pressure
kalman,264,False,False,,451,variance_pressure
arima,264,False,False,,495,state_shift_pressure
kalman,265,True,True,450.0,450,variance_pressure
arima,265,False,False,,460,variance_pressure
kalman,266,True,True,448.0,448,variance_pressure
arima,266,False,False,,460,variance_pressure
kalman,267,True,True,322.0,322,variance_pressure
arima,267,True,True,456.0,456,variance_pressure
kalman,268,True,True,350.0,350,variance_pressure
arima,268,True,True,424.0,424,variance_pressure
kalman,269,False,False,,451,variance_pressure
arima,269,False,False,,460,variance_pressure
kalman,270,True,True,441.0,441,variance_pressure
arima,270,False,False,,460,variance_pressure
kalman,271,True,True,395.0,395,variance_pressure
arima,271,False,False,,489,variance_pressure
kalman,272,True,True,313.0,313,variance_pressure
arima,272,True,True,333.0,333,variance_pressure
kalman,273,True,True,326.0,326,variance_pressure
arima,273,True,True,351.0,351,variance_pressure
kalman,274,True,True,387.0,387,variance_pressure
arima,274,True,True,334.0,334,break_pressure
kalman,275,True,True,441.0,441,variance_pressure
arima,275,False,False,,456,variance_pressure
kalman,276,True,True,391.0,391,state_shift_pressure
arima,276,False,False,,456,variance_pressure
kalman,277,True,True,445.0,445,variance_pressure
arima,277,False,False,,460,variance_pressure
kalman,278,True,True,351.0,351,variance_pressure
arima,278,False,False,,460,variance_pressure
kalman,279,True,True,471.0,471,state_shift_pressure
arima,279,False,False,,460,variance_pressure
kalman,280,False,False,,451,variance_pressure
arima,280,False,False,,400,variance_pressure
kalman,281,True,True,443.0,443,variance_pressure
arima,281,False,False,,456,variance_pressure
kalman,282,True,True,450.0,450,variance_pressure
arima,282,False,False,,490,variance_pressure
kalman,283,False,False,,451,variance_pressure
arima,283,False,False,,495,state_shift_pressure
kalman,284,True,True,325.0,325,variance_pressure
arima,284,True,True,456.0,456,variance_pressure
kalman,285,True,True,443.0,443,variance_pressure
arima,285,False,False,,456,variance_pressure
kalman,286,True,True,400.0,400,variance_pressure
arima,286,False,False,,456,variance_pressure
kalman,287,True,True,441.0,441,variance_pressure
arima,287,False,False,,456,variance_pressure
